part,definition,root,plural,sg_class,pl_class
n,office,ofesi,maofesi,9,6
n,hour,ola,maola,9,6
n,pair,peyala,mapeyala,9,6
n,shirt,shati,mashati,9,6
n,station,siteji,masiteji,9,6
n,glass,tambula,,9,6
n,tomato,tomato,tomato,9,6
n,pepper,tsabola,matsabola,9,6
n,window,windo,mawindo,9,6
n,mouth,kamwa,makamwa,9,10
n,bird,mbalame,mbalame,9,10
n,plate,mbale,,9,10
n,sweet potato,mbatata,mbatata,9,10
n,potato,mbatatesi,mbatatesi,9,10
n,flag,mbendera,mbendera,9,10
n,"crop, plant",mbewu,mbewu,9,10
n,belly,mimba,mimba,9,10
n,sugarcane,mnzimbe,mnzimbe,9,10
n,mat,mphasa,mphasa,9,10
n,nose,mphuno,mphuno,9,10
n,hippopotamus,mvuu,mvuu,9,10
n,airplane,ndege,ndege,9,10
n,relish,ndiwo,ndiwo,9,10
n,crocodile,ng'ona,ng'ona,9,10
n,debt,ngongole,ngongole,9,10
n,bicycle,njinga,njinga,9,10
n,forest,nkhalango,nkhalango,9,10
n,story,nkhani,nkhani,9,10
n,chicken,nkhuku,nkhuku,9,10
n,turkey,nkhukutembo,nkhukutembo,9,10
n,shoe,nsapatu,nsapatu,9,10
n,fish,nsomba,nsomba,9,10
n,giraffe,nswala,nswala,9,10
n,soil,nthaka,,9,10
n,banana,nthochi,nthochi,9,10
n,"meat, animal",nyama,,9,10
n,bean,nyemba,nyemba,9,10
n,"music, song",nyimbo,nyimbo,9,10
n,weather,nyengo,,9,
n,money,ndalama,,10,
n,evidence,umboni,,11,
n,pollution,uve,,11,
n,responsibility,udindo,,14,
n,flour,ufa,,14,
n,wedding,ukwati,,14,
n,respect,ulemu,,14,
n,trip,ulendo,,14,
n,laziness,ulesi,,14,
n,health,umoyo,,14,
n,ministry,unduna,,14,
n,daylight,usana,,14,
n,night,usiku,,14,
nadj,old (obj),kale,,,
nadj,sad,khumudwa,,,
nadj,black,kuda,,,
nadj,new,nyuwani,,,
nadj,central,pakati,,,
nadj,same,yemweyo,,,
nadj,fresh,ziwisi,,,
padj,thirsty,ndi ludzu,,,
padj,hungry,ndi njala,,,
prep,for,kwa,,,
prep,instead of,m'malo mwa,,,
prep,until,mpaka,,,
prep,without,opanda,,,
prep,without,popanda,,,
v,be born,badwa,,,
v,only,basi,,,
v,return,bwerako,,,
v,pay back,bweza,,,
v,dawn,cha,,,
v,wash (clothes),chapa,,,
v,chat,cheza,,,
v,because,chifukwa,,,
v,do,chita,,,
v,leave,choka,,,
v,subtract,chotsera,,,
v,depend,dalira,,,
v,"worry, complain",dandaula,,,
v,wait,dikira,,,
v,cut,dula,,,
v,pass by,dutsa,,,
v,be sick,dwala (pf),,,
v,explain,fotokoza,,,
v,cover up,funda,,,
v,ask,funsa,,,
v,think,ganiza,,,
v,share,gawira,,,
v,fall,gwa,,,
v,fall,gwa,,,
v,catch,gwira,,,
v,agree,gwirizana,,,
v,put,ika,,,
v,stop,ima,,,
v,sing,imba,,,
v,call,imba foni,,,
v,call (so.),imbira foni,,,
v,invite,itana,,,
v,order,itanitsa,,,
v,forget,iwala,,,
v,discuss,kambirana,,,
v,discuss,kambirana,,,
v,establish,khazikitsa,,,
v,turn,khota,,,
v,turn to,khotera,,,
v,"hope, believe",khulupirira,,,
v,trust,khulupirira,,,
v,be full,khuta (pastpf),,,
v,harvest,kolola,,,
v,taste good,koma,,,
v,"clean, fix",konza,,,
v,grow (intr),kula,,,
v,meet,kumana ndi,,,
v,remember,kumbukira,,,
v,shout,kuwa,,,
v,"fit (clothes, time)",kwana,,,
v,marry (f),kwatiwa,,,
v,"climb, ride",kwera,,,
v,receive,landira,,,
v,advise,langiza,,,
v,fail,lephera,,,
v,"grow, cultivate",lima,,,
v,work hard,limbikira,,,
v,cry,lira,,,
v,allow,lola,,,
v,be allowed,loledwa,,,
v,pack (luggage),longeza,,,
v,promise,lonjeza,,,
v,"enter, set (sun)",lowa,,,
v,lose (a game),luza,,,
v,finish,maliza,,,
v,"build, tie",manga,,,
v,"hear, feel, understand",mva,,,
v,understand,mvetsa,,,
v,listen to,mvetsera,,,
v,listen,mvetsera,,,
v,pass away,mwalira,,,
v,say,nena,,,
v,stink,nunkha,,,
v,leave,nyamuka,,,
v,new,nyuwani,,,
v,cross,oloka,,,
v,watch,onera,,,
